video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
i9YSpgAM2uw,"NBC Nightly News Broadcast (Full) - January 6th, 2021 | NBC Nightly News","UCeY0bbntWzzVIaj2z3QigXg","NBC News","25","1796.0","https://i.ytimg.com/vi/i9YSpgAM2uw/default.jpg","Nightly Netcast|Nightly News Netcast","Full coverage on the U.S. Capitol riots.Watch “NBC Nightly News With Lester Holt” at 6:30 p.m. ET / 5:30 p.m. CT (or check your local listings).» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC» Watch more NBC video: http://bit.ly/MoreNBCNewsConnect with NBC Nightly News online! NBC News App: https://smart.link/5d0cd9df61b80Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621Visit NBCNightlyNews.com: https://nbcnews.to/2wFotQ8Find Nightly News on Facebook: https://bit.ly/2TZ1PhFFollow Nightly News on Twitter: https://bit.ly/1yFY2s4Follow Nightly News on Instagram: https://bit.ly/2tEncJD NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties. We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.#GeorgiaElection #USCapitolRiots #NBCNewsNBC Nightly News Broadcast (Full) - January 6th, 2021 | NBC Nightly News","» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC» Watch more NBC video: http://bit.ly/MoreNBCNewsNBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.Connect with NBC News:NBC News App: https://smart.link/5d0cd9df61b80Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621Visit NBCNews.Com: http://nbcnews.to/ReadNBCFind NBC News on Facebook: http://nbcnews.to/LikeNBCFollow NBC News on Twitter: http://nbcnews.to/FollowNBCFollow NBC News on Instagram: http://nbcnews.to/InstaNBC","NBC News News Politics Today Show NBC Nightly News Meet The Press Dateline Brian Williams nbc news nbc nbcnews breaking news nbc breaking news nbc news now nbc news live stream nbc latest news nbc politics nbc news breaking news live news news nbc live nbc news live nbc special report nbc news today news today nightly news nightly news nbc nbc news special report","_glGQQylcgc"
KrJF8Iz-7R8,"WATCH LIVE | Inauguration of Joe Biden and Kamala Harris","UCHd62-u_v4DvJ8TCFtpi4GA","Washington Post","25","0.0","https://i.ytimg.com/vi/KrJF8Iz-7R8/default_live.jpg","inauguration_yt|breaking news video|video updates|live video|live updates|breaking news|press conference|live speeches|real time coverage","President-elect Joe Biden and Vice President-elect Kamala D. Harris will take the oath of office on the steps of the U.S. Capitol on Jan. 20.An inauguration like no other, the ceremony will take place amid the coronavirus pandemic and two weeks after pro-Trump rioters stormed the Capitol. The D.C. police chief has said that upwards of 20,000 National Guardsmen are expected to be in place throughout the city to guard against violence.President Trump plans to leave Washington on the morning of Biden’s swearing-in, becoming the first modern-day president to skip his successor’s inauguration. Vice President Pence has said he will attend Biden’s ceremony.The Post’s Libby Casey will anchor live coverage and be joined by reporters Rhonda Colvin, Hannah Jewell, Joyce Koh, Nicole Ellis, Lee Powell, Mary Beth Albright and Jorge Ribas. Read more: https://wapo.st/3sJSJH0. Subscribe to The Washington Post on YouTube: https://wapo.st/2QOdcqKFollow us:Twitter: https://twitter.com/washingtonpostInstagram: https://www.instagram.com/washingtonpost/Facebook: https://www.facebook.com/washingtonpost/","Live events, breaking news, analysis and more from The Washington Post.Comments and community are moderated according to these rules: http://wapo.st/rules","Washington Post Washington Post video national republican democrat washington DC foreign congress humor politics Trump Donald Trump video explainer headlines newspaper the hill capitol hill report reporter journalism journalist the washington post news coverage fact check news","_glGQQylcgc"
YVDJqipoohc,"Jordan Klepper Sees It All at The Capitol Insurrection | The Daily Social Distancing Show","UCwWhs_6x42TyRM4Wstoq8HA","The Daily Show with Trevor Noah","23","401.0","https://i.ytimg.com/vi/YVDJqipoohc/default.jpg","the daily show|trevor noah|daily show with trevor noah|the daily show episodes|comedy central|comedians|comedian|funny video|comedy videos|funny clips|noah trevor|trevor noah latest episode|daily show|trevor|news|politics|daily show trump|trevor noah trump|trump|coronavirus|jordan klepper|trump rally|donald trump|klepper fingers the pulse|joe biden|election|vote|2020 election|maga|protest|conspiracies|capitol|coup|coup d'etat|insurrection|washington|DC","Pitchforks, Proud Boys, and a one-man “Tyranny Response Team.” Jordan Klepper saw it all at the Capitol insurrection. #DailyShow #JordanKlepper #CapitolSubscribe to The Daily Show:https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/?sub_confirmation=1 Follow The Daily Show:Twitter: https://twitter.com/TheDailyShowFacebook: https://www.facebook.com/thedailyshowInstagram: https://www.instagram.com/thedailyshowWatch full episodes of The Daily Show for free: http://www.cc.com/shows/the-daily-show-with-trevor-noah/full-episodesFollow Comedy Central:Twitter: https://twitter.com/ComedyCentralFacebook: https://www.facebook.com/ComedyCentralInstagram: https://www.instagram.com/comedycentralAbout The Daily Show:Trevor Noah and The Daily Show correspondents tackle the biggest stories in news, politics and pop culture.The Daily Show with Trevor Noah airs weeknights at 11/10c on Comedy Central.","The Daily Show is an Emmy and Peabody Award-winning program that looks at the day's top headlines through a sharp, reality-based lens. Along with the help of The World's Fakest News Team, Trevor Noah covers the biggest news stories in politics, pop culture and more.The Daily Show with Trevor Noah airs weeknights at 11/10c on Comedy Central.","","_glGQQylcgc"
UXR_bqyAy4E,"Chaos in Washington as Trump supporters storm Capitol and force lockdown of Congress - BBC News","UC16niRr50-MSBwiO3YDb3RA","BBC News","25","707.0","https://i.ytimg.com/vi/UXR_bqyAy4E/default.jpg","bbc|bbc news|news|Washington|Capitol|capital|DC|Congress|Trump|supporters|storm|stormed|building|lockdown|evacuation|police|national|guard|chaos|crisis|President|Biden|representatives|senators|vote|election|result|victory|defeat|challenge|mob|anger|protest|demonstrating|protesting|demonstration|rage|White|House|elect|elected|mayor|deployed|Huw Edwards|Jon Sopel|US|United|States|North|America|editor|Aleem Maqbool|Lebo|Diseko|coup|constitution|attack|attempt|armed|shot|woman|insurrection","Thousands of supporters of President Trump have stormed the US Capitol building, venting their anger at the victory of Joe Biden in the presidential election. They forced the evacuation and lockdown of Congress, where lawmakers were preparing to approve the election result. Shortly before the clashes President Trump had addressed his supporters near the White House telling them that he would never accept defeat. President-elect Biden called on Mr Trump to tell his people to go home and eventually that was the message delivered from the White House.Washington’s Mayor ordered a curfew as members of the US National Guard were deployed to protect the city. Huw Edwards presents BBC News at Ten reporting by North America editor Jon Sopel in Washington and from Aleem Maqbool and Lebo Diseko at the Capitol.Please subscribe HERE http://bit.ly/1rbfUog","Welcome to the official BBC News YouTube channel. Interested in global news with an impartial perspective? Want to see behind-the-scenes clips and footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.Tune into BBC World News for 24 hour news on TV. Check out BBC News on mobile and download our app for iPhone, Android and Kindle Fire. The official BBC News YouTube channel is operated by BBC Global News Ltd which comprises BBC World News the 24hr TV channel and bbc.com/news, the international news website.","BBC News Official YouTube Channel","_glGQQylcgc"
0eD-TKZlbMk,"Eli Saslow & Derek Black - Leaving the KKK and White Supremacy | The Daily Show","UCwWhs_6x42TyRM4Wstoq8HA","The Daily Show with Trevor Noah","23","413.0","https://i.ytimg.com/vi/0eD-TKZlbMk/default.jpg","the daily show|trevor noah|daily show with trevor noah|the daily show episodes|comedy central|comedians|comedian|funny video|comedy videos|funny clips|noah trevor|trevor noah latest episode|daily show|trevor|news|politics|daily show trump|trevor noah trump|trump|donald trump|eli saslow|derek black|kkk|white supremacy|racism|racist|ideology|david duke","“Unless we go through the act of confronting it, it’s going to continue to grow and be a dangerous force in what the country is.” Derek Black and Eli Saslow tell the story of leaving the KKK and confronting white supremacy in America. #DailyShow #DerekBlack #EliSaslowSubscribe to The Daily Show:https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/?sub_confirmation=1 Follow The Daily Show:Twitter: https://twitter.com/TheDailyShowFacebook: https://www.facebook.com/thedailyshowInstagram: https://www.instagram.com/thedailyshowWatch full episodes of The Daily Show for free: http://www.cc.com/shows/the-daily-show-with-trevor-noah/full-episodesFollow Comedy Central:Twitter: https://twitter.com/ComedyCentralFacebook: https://www.facebook.com/ComedyCentralInstagram: https://www.instagram.com/comedycentralAbout The Daily Show:Trevor Noah and The Daily Show correspondents tackle the biggest stories in news, politics and pop culture.The Daily Show with Trevor Noah airs weeknights at 11/10c on Comedy Central.","The Daily Show is an Emmy and Peabody Award-winning program that looks at the day's top headlines through a sharp, reality-based lens. Along with the help of The World's Fakest News Team, Trevor Noah covers the biggest news stories in politics, pop culture and more.The Daily Show with Trevor Noah airs weeknights at 11/10c on Comedy Central.","","_glGQQylcgc"
HwoO45cSlN4,"Watch how the events unfolded during the Capitol riots","UCHd62-u_v4DvJ8TCFtpi4GA","Washington Post","25","260.0","https://i.ytimg.com/vi/HwoO45cSlN4/default.jpg","Md. & Va.","Pro-Trump supporters rioted and overtook U.S. Capitol officers to enter the building as lawmakers attempted to count the electoral college votes on Jan. 6. Protesters were in the District to falsely assert the presidential election was stolen from Trump.The violent scene — much of it incited by the president’s incendiary language — was like no other in modern American history, bringing to a sudden halt the congressional certification of Joe Biden’s electoral victory. All 1,100 members of the D.C. National Guard were activated, and Mayor Muriel E. Bowser (D) imposed a citywide curfew. Read more: https://wapo.st/35hm5T6. Subscribe to The Washington Post on YouTube: https://wapo.st/2QOdcqKFollow us:Twitter: https://twitter.com/washingtonpostInstagram: https://www.instagram.com/washingtonpost/Facebook: https://www.facebook.com/washingtonpost/","Live events, breaking news, analysis and more from The Washington Post.Comments and community are moderated according to these rules: http://wapo.st/rules","Washington Post Washington Post video national republican democrat washington DC foreign congress humor politics Trump Donald Trump video explainer headlines newspaper the hill capitol hill report reporter journalism journalist the washington post news coverage fact check news","_glGQQylcgc"
y9WPuA6EUaw,"See stunning video of rioters inside Capitol","UCupvZG-5ko_eiXAupbDfxWw","CNN","25","615.0","https://i.ytimg.com/vi/y9WPuA6EUaw/default.jpg","latest News|Happening Now|CNN","Members of Congress are sheltering in place as pro-Trump rioters storm the US Capitol.#CNN #News","CNN operates as a division of Turner Broadcasting System, which is a subsidiary of Warner Media. CNN identifies itself as -- and is widely known to be - the most trusted source for news and information. The CNN umbrella includes nine cable and satellite television networks, two radio networks, the CNN Digital Network, which is the top network of news Web sites in the United States, and CNN Newsource, the world's most extensively syndicated news service. CNN is proud of our ability to bring you up-to-the-minute news from around the world, as a result of our many extensions.","CNN CNN News news breaking news","_glGQQylcgc"
tCbneILS8DM,"Watch: What we saw the day the Capitol was attacked | 'America, Interrupted' Podcast","UC6ZFN9Tx6xh-skXCuRHCDpQ","PBS NewsHour","25","1762.0","https://i.ytimg.com/vi/tCbneILS8DM/default.jpg","capitol attack live|congress|president donald trump|donald trump|senate evacuation|trump protestors|capitol|us capitol|cable news|amna nawaz|judy woodruff|lisa desjardins|yamiche alcondor|u.s. capitol|u.s. capitol attack|capitol hill|pbs newshour|us capitol building|us election","On Jan. 6, for the first time in more than two centuries, Congress was attacked and overrun, this time by its own citizens. The PBS NewsHour’s anchor and managing editor Judy Woodruff talks to correspondents Lisa Desjardins, Amna Nawaz and Yamiche Alcindor about what they saw as they reported from inside the Capitol, the grounds that surround it and the White House, respectively– and what they and other Americans will remember from that day.For more episodes of “America, Interrupted” and other podcasts from the PBS NewsHour, subscribe to the PBS NewsHour YouTube channel: https://bit.ly/2HfsCD6You can also listen to “America, Interrupted” on-Spotify: https://open.spotify.com/show/2HERUHS2kRtgvQYvUSk3d8?si=2iDr6hlVTq6FHgcMDI2CiQApple Podcasts: https://podcasts.apple.com/us/podcast/america-interrupted/id1510437559Or on our website: https://www.pbs.org/newshour/podcasts/special-seriesStream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twGFind more from PBS NewsHour at https://www.pbs.org/newshourSubscribe to our YouTube channel: https://bit.ly/2HfsCD6Follow us:Facebook: http://www.pbs.org/newshourTwitter: http://www.twitter.com/newshourInstagram: http://www.instagram.com/newshourSubscribe:PBS NewsHour podcasts: https://www.pbs.org/newshour/podcastsNewsletters: https://www.pbs.org/newshour/subscribe","PBS NewsHour is one of the most trusted news programs in television and online.","News politics world news health news science news arts pbs newshour newshour breaking news pbs judy woodruff yamiche alcindor lisa desjardins nick schifrin amna nawaz paul solman making sense current events science donald trump congress president international news hari sreenivasan newshour weekend national news us news","_glGQQylcgc"
zTNCH-fP7xQ,"Trump Supporter To NDTV: We Won't Trust Elections If Biden Gets Elected | Capitol Hill Violence","UCZFMm1mMw0F81Z37aaEzTUA","NDTV","25","247.0","https://i.ytimg.com/vi/zTNCH-fP7xQ/default.jpg","NDTV 24x7|Donald Trump|Joe Biden|Pro-Trump Mob Storms US Capitol|US Presidential Elections|US Presidential Elections Results|US Clashes|TV Clip|US Capitol Violence|Capitol Hill Violence|US Violence News|Capitol Hill|US Election Results|US New|Donald Trump news|Violence in Washington|Amitoj Singh|trump supporters|donal trump supporters|donal trump supporters in US","Capitol Hill Violence: NDTV's Amitoj Singh spoke to a group of supporters of outgoing President Donald Trump a day after the country witnessed violent riots at US Capitol. I believe in President Trump's leadership. He united everybody, one of the supporter said.NDTV is one of the leaders in the production and broadcasting of un-biased and comprehensive news and entertainment programmes in India and abroad. NDTV delivers reliable information across all platforms: TV, Internet and Mobile.Subscribe for more videos: https://www.youtube.com/user/ndtv?sub_confirmation=1Like us on Facebook: https://www.facebook.com/ndtvFollow us on Twitter: https://twitter.com/ndtvDownload the NDTV Apps: http://www.ndtv.com/page/appsWatch more videos: http://www.ndtv.com/video?yt","NDTV is one of the leaders in the production and broadcasting of un-biased and comprehensive news and entertainment programs in India and abroad. It offers round-the-clock coverage of latest news and has a unique mix of news bulletins, current affairs, talk shows, and general interest and entertainment programs. The company operates NDTV 24X7, an English news channel; NDTV India, a Hindi news channel; and NDTV Profit. NDTV's verticals cover an entire gamut of news and beyond news encompassing recipes, travel, entertainment, shopping, books, health, gadgets and special features. NDTV delivers reliable information across all platforms: TV, Internet and Mobile. NDTV broadcasts its programmes in Sri Lanka,  Bangladesh, Maldives, Nepal, Middle East, Mauritius, South Africa, Europe, US, Canada & ANZ.","ndtv news ndtv 24x7 english news live english news latest news from india live tv watch live tv live tv on youtube","_glGQQylcgc"
e9RM4aP1_mQ,"Inside the U.S. Capitol Attack, By Journalist Sandi Bachom","UCn4sPeUomNGIr26bElVdDYg","NowThis News","25","396.0","https://i.ytimg.com/vi/e9RM4aP1_mQ/default.jpg","NowThis|news|capitol|capitol breach|capitol riots|capitol hill breach|capitol building breached|capitol hill riot|capitol hill stormed|capitol building riot|u.s. politics|trump extremists|trump mob|maga|maga storms capitol building|u.s. capitol attack|what happened at the capitol riots|what happened at the capitol|Sandi Bachom|inside the capitol riots|videos from capitol riot|videos from capitol attack|insurrectionists|domestic terrorists|MAGA rioters","INSIDE THE CAPITOL ATTACK: Journalist Sandi Bachom has been covering Trump’s base for years. On Jan 6, she captured what she believes was a ‘rehearsed and orchestrated’ attack.» Subscribe to NowThis: http://go.nowth.is/News_Subscribe» Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThisFor more U.S. politics, COVID-19 updates, and Capitol riots coverage, subscribe to NowThis News.#CapitolRiots #Trump #Politics #SandiBachom #News #NowThis Connect with NowThis» Like us on Facebook: http://go.nowth.is/News_Facebook» Tweet us on Twitter: http://go.nowth.is/News_Twitter» Follow us on Instagram: http://go.nowth.is/News_Instagram» Find us on Snapchat Discover: http://go.nowth.is/News_SnapchatNowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.http://www.youtube.com/nowthisnews@nowthisnews","NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.","NowThis NowThisNews #NowThis Now This News NowThis News Now This Media NowThis Media Breaking Trending World Current Events news Global International Media Business Finance Economy Market Tips Entertainment Pop Culture Politics Policy History Science Tech Technology Info Update NowThis Her NowThis Weed NowThis Pop NowThis Entertainment NowThis Politics NowThis Nerd NT News","_glGQQylcgc"
